Status,AwayTeamName,AwayTeamScore,HomeTeamName,HomeTeamScore,Period,TimeRemainingMinutes,TimeRemainingSeconds
Final,Nebraska Cornhuskers,16,Minnesota Golden Gophers,21,F,,
Final,South Dakota Coyotes,16,Missouri Tigers,57,F,,
Final,Florida Gators,18,Utah Utes,39,F,,
Final,NC State Wolfpack,39,UConn Huskies,23,F,,
Final,Southern Utah Thunderbirds,34,Arizona State Sun Devils,39,F,,
Final,Elon Phoenix,28,Wake Forest Demon Deacons,61,F,,
Final,Kent State Golden Flashes,16,UCF Knights,92,F,,
Final,Arkansas-Pine Bluff Golden Lions,11,Tulsa Golden Hurricane,69,F,,
Final,North Carolina A&T Aggies,16,UAB Blazers,57,F,,
Final,Rhode Island Rams,57,Georgia State Panthers,69,F,,
Final,St. Francis (PA) Red Flash,28,Western Michigan Broncos,57,F,,
